product_name,batch_id,manufacturer,prod_date,exp_date,traceability
PRODUCT A,af528d72,Factory A,2025-07-18,2026-07-18,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-07-18 11:08""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-07-18 12:08""}, {""step"": ""Assembly Line"", ""location"": ""2"", ""timestamp"": ""2025-07-18 14:08""}, {""step"": ""Soldering"", ""location"": ""Solder Station 1"", ""timestamp"": ""2025-07-18 15:08""}, {""step"": ""Quality Control"", ""location"": ""2"", ""timestamp"": ""2025-07-18 19:08""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-07-18 21:08""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-07-18 22:08""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-07-19 02:08""}]"
PRODUCT A,7139145b,Factory C,2025-08-15,2026-08-15,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-08-15 12:08""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-08-15 13:08""}, {""step"": ""Assembly Line"", ""location"": ""2"", ""timestamp"": ""2025-08-15 16:08""}, {""step"": ""Soldering"", ""location"": ""2"", ""timestamp"": ""2025-08-15 17:08""}, {""step"": ""Quality Control"", ""location"": ""2"", ""timestamp"": ""2025-08-15 22:08""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-08-16 02:08""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-08-16 04:08""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-08-16 08:08""}]"
PRODUCT A,6ef0d208,Factory B,2025-07-09,2026-07-09,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-07-09 13:08""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-07-09 15:08""}, {""step"": ""Assembly Line"", ""location"": ""3"", ""timestamp"": ""2025-07-09 20:08""}, {""step"": ""Soldering"", ""location"": ""2"", ""timestamp"": ""2025-07-09 23:08""}, {""step"": ""Quality Control"", ""location"": ""2"", ""timestamp"": ""2025-07-10 00:08""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-07-10 02:08""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-07-10 07:08""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-07-10 09:08""}]"
PRODUCT B,36f53515,Factory C,2025-06-25,2026-06-25,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-06-25 10:08""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-06-25 12:08""}, {""step"": ""Assembly Line"", ""location"": ""3"", ""timestamp"": ""2025-06-25 16:08""}, {""step"": ""Soldering"", ""location"": ""2"", ""timestamp"": ""2025-06-25 20:08""}, {""step"": ""Quality Control"", ""location"": ""3"", ""timestamp"": ""2025-06-25 21:08""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-06-25 22:08""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-06-26 03:08""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-06-26 06:08""}]"
PRODUCT B,b6044eee,Factory C,2025-08-08,2026-08-08,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-08-08 10:08""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-08-08 13:08""}, {""step"": ""Assembly Line"", ""location"": ""3"", ""timestamp"": ""2025-08-08 18:08""}, {""step"": ""Soldering"", ""location"": ""Solder Station 1"", ""timestamp"": ""2025-08-08 19:08""}, {""step"": ""Quality Control"", ""location"": ""QC Area 1"", ""timestamp"": ""2025-08-08 22:08""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-08-09 00:08""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-08-09 05:08""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-08-09 08:08""}]"
PRODUCT B,a11c0a98,Factory C,2025-07-31,2026-07-31,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-07-31 10:08""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-07-31 13:08""}, {""step"": ""Assembly Line"", ""location"": ""2"", ""timestamp"": ""2025-07-31 17:08""}, {""step"": ""Soldering"", ""location"": ""Solder Station 1"", ""timestamp"": ""2025-07-31 20:08""}, {""step"": ""Quality Control"", ""location"": ""3"", ""timestamp"": ""2025-08-01 00:08""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-08-01 05:08""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-08-01 06:08""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-08-01 10:08""}]"
PRODUCT C,5a1fd816,Factory B,2025-07-19,2026-07-19,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-07-19 11:08""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-07-19 12:08""}, {""step"": ""Assembly Line"", ""location"": ""2"", ""timestamp"": ""2025-07-19 13:08""}, {""step"": ""Soldering"", ""location"": ""2"", ""timestamp"": ""2025-07-19 17:08""}, {""step"": ""Quality Control"", ""location"": ""3"", ""timestamp"": ""2025-07-19 19:08""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-07-19 22:08""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-07-20 00:08""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-07-20 04:08""}]"
PRODUCT C,1bbca68f,Factory B,2025-07-17,2026-07-17,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-07-17 11:08""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-07-17 16:08""}, {""step"": ""Assembly Line"", ""location"": ""3"", ""timestamp"": ""2025-07-17 21:08""}, {""step"": ""Soldering"", ""location"": ""Solder Station 1"", ""timestamp"": ""2025-07-18 02:08""}, {""step"": ""Quality Control"", ""location"": ""QC Area 1"", ""timestamp"": ""2025-07-18 05:08""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-07-18 06:08""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-07-18 09:08""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-07-18 11:08""}]"
PRODUCT C,687f9916,Factory A,2025-07-22,2026-07-22,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-07-22 11:08""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-07-22 14:08""}, {""step"": ""Assembly Line"", ""location"": ""2"", ""timestamp"": ""2025-07-22 16:08""}, {""step"": ""Soldering"", ""location"": ""Solder Station 1"", ""timestamp"": ""2025-07-22 18:08""}, {""step"": ""Quality Control"", ""location"": ""QC Area 1"", ""timestamp"": ""2025-07-22 20:08""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-07-22 21:08""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-07-23 00:08""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-07-23 02:08""}]"
PRODUCT D,f59eb56b,Factory B,2025-07-25,2026-07-25,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-07-25 14:08""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-07-25 18:08""}, {""step"": ""Assembly Line"", ""location"": ""Line 1"", ""timestamp"": ""2025-07-25 21:08""}, {""step"": ""Soldering"", ""location"": ""Solder Station 1"", ""timestamp"": ""2025-07-26 00:08""}, {""step"": ""Quality Control"", ""location"": ""QC Area 1"", ""timestamp"": ""2025-07-26 03:08""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-07-26 07:08""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-07-26 11:08""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-07-26 12:08""}]"
PRODUCT D,037e4fdc,Factory C,2025-08-04,2026-08-04,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-08-04 11:08""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-08-04 15:08""}, {""step"": ""Assembly Line"", ""location"": ""2"", ""timestamp"": ""2025-08-04 19:08""}, {""step"": ""Soldering"", ""location"": ""2"", ""timestamp"": ""2025-08-04 20:08""}, {""step"": ""Quality Control"", ""location"": ""QC Area 1"", ""timestamp"": ""2025-08-04 22:08""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-08-05 00:08""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-08-05 01:08""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-08-05 03:08""}]"
PRODUCT D,143beb6d,Factory B,2025-08-01,2026-08-01,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-08-01 11:08""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-08-01 14:08""}, {""step"": ""Assembly Line"", ""location"": ""3"", ""timestamp"": ""2025-08-01 19:08""}, {""step"": ""Soldering"", ""location"": ""Solder Station 1"", ""timestamp"": ""2025-08-01 22:08""}, {""step"": ""Quality Control"", ""location"": ""QC Area 1"", ""timestamp"": ""2025-08-02 03:08""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-08-02 07:08""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-08-02 08:08""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-08-02 09:08""}]"
